#Atoms saved in every cycle:
Existing atomic number = 24567
Deleted atomic number = 33
Existing atomic number = 24662
Deleted atomic number = 19
Existing atomic number = 24749 
Deleted atomic number = 6
Existing atomic number = 24831
Deleted atomic number = 14
Existing atomic number = 24918
Deleted atomic number = 15
Existing atomic number = 24993
Deleted atomic number = 12
Existing atomic number = 25076
Deleted atomic number = 11
Existing atomic number = 25169
Deleted atomic number = 14
Existing atomic number = 25281
Deleted atomic number = 21
Existing atomic number = 25373
Deleted atomic number = 17
Existing atomic number = 25447
Deleted atomic number = 15
Existing atomic number = 25550
Deleted atomic number = 10
Existing atomic number = 25623
Deleted atomic number = 18
Existing atomic number = 25719
Deleted atomic number = 16
Existing atomic number = 25831
Deleted atomic number = 12
Existing atomic number = 25935
Deleted atomic number = 6
Existing atomic number = 25995
Deleted atomic number = 15
Existing atomic number = 26094
Deleted atomic number = 7
Existing atomic number = 26191
Deleted atomic number = 4
Existing atomic number = 26287
Deleted atomic number = 21
Existing atomic number = 26405
Deleted atomic number = 8
Existing atomic number = 26503
Deleted atomic number = 19
Existing atomic number = 26595
Deleted atomic number = 16
Existing atomic number = 26692
Deleted atomic number = 16
Existing atomic number = 26810
Deleted atomic number = 19
Existing atomic number = 26917
Deleted atomic number = 8
Existing atomic number = 26990
Deleted atomic number = 28
Existing atomic number = 27070
Deleted atomic number = 10
Existing atomic number = 27172
Deleted atomic number = 14
Existing atomic number = 27259
Deleted atomic number = 13
Existing atomic number = 27338
Deleted atomic number = 10
Existing atomic number = 27405
Deleted atomic number = 10
Existing atomic number = 27486
Deleted atomic number = 9
Existing atomic number = 27613
Deleted atomic number = 8
Existing atomic number = 27725
Deleted atomic number = 13
Existing atomic number = 27826
Deleted atomic number = 8
Existing atomic number = 27918
Deleted atomic number = 14
Existing atomic number = 28000
Deleted atomic number = 17
Existing atomic number = 28088
Deleted atomic number = 23
Existing atomic number = 28189
Deleted atomic number = 18
Existing atomic number = 28296
Deleted atomic number = 9
Existing atomic number = 28404
Deleted atomic number = 13
Existing atomic number = 28500
Deleted atomic number = 24
Existing atomic number = 28587
Deleted atomic number = 11
Existing atomic number = 28673
Deleted atomic number = 23
Existing atomic number = 28768
Deleted atomic number = 13
Existing atomic number = 28866
Deleted atomic number = 18
Existing atomic number = 28955
Deleted atomic number = 12
Existing atomic number = 29065
Deleted atomic number = 16
Existing atomic number = 29140
Deleted atomic number = 19
Existing atomic number = 29231
Deleted atomic number = 13
Existing atomic number = 29324
Deleted atomic number = 13
Existing atomic number = 29398
Deleted atomic number = 19
Existing atomic number = 29496
Deleted atomic number = 7
Existing atomic number = 29590
Deleted atomic number = 16
Existing atomic number = 29702
Deleted atomic number = 10
Existing atomic number = 29817
Deleted atomic number = 8
Existing atomic number = 29934
Deleted atomic number = 15
Existing atomic number = 30010
Deleted atomic number = 18
Existing atomic number = 30098
Deleted atomic number = 15
Existing atomic number = 30203
Deleted atomic number = 10
Existing atomic number = 30271
Deleted atomic number = 10
Existing atomic number = 30361
Deleted atomic number = 10
Existing atomic number = 30450
Deleted atomic number = 15
Existing atomic number = 30524
Deleted atomic number = 20
Existing atomic number = 30620
Deleted atomic number = 15
Existing atomic number = 30708
Deleted atomic number = 17
Existing atomic number = 30787
Deleted atomic number = 18
Existing atomic number = 30901
Deleted atomic number = 12
