# time(ps) 	kappa_ee_mean	kappa_ee_upper	kappa_ee_lower
0.000000e+00	0.000000e+00	nan	nan
1.000000e-03	2.523431e-01	nan	nan
2.000000e-03	5.025273e-01	nan	nan
3.000000e-03	7.484239e-01	nan	nan
4.000000e-03	9.879649e-01	nan	nan
5.000000e-03	1.219171e+00	nan	nan
6.000000e-03	1.440176e+00	nan	nan
7.000000e-03	1.649250e+00	nan	nan
8.000000e-03	1.844821e+00	nan	nan
9.000000e-03	2.025482e+00	nan	nan
1.000000e-02	2.190012e+00	nan	nan
1.100000e-02	2.337376e+00	nan	nan
1.200000e-02	2.466735e+00	nan	nan
1.300000e-02	2.577444e+00	nan	nan
1.400000e-02	2.669055e+00	nan	nan
1.500000e-02	2.741310e+00	nan	nan
1.600000e-02	2.794140e+00	nan	nan
1.700000e-02	2.827660e+00	nan	nan
1.800000e-02	2.842158e+00	nan	nan
1.900000e-02	2.838090e+00	nan	nan
2.000000e-02	2.816075e+00	nan	nan
2.100000e-02	2.776877e+00	nan	nan
2.200000e-02	2.721404e+00	nan	nan
2.300000e-02	2.650693e+00	nan	nan
2.400000e-02	2.565897e+00	nan	nan
2.500000e-02	2.468277e+00	nan	nan
2.600000e-02	2.359186e+00	nan	nan
2.700000e-02	2.240057e+00	nan	nan
2.800000e-02	2.112390e+00	nan	nan
2.900000e-02	1.977733e+00	nan	nan
3.000000e-02	1.837673e+00	nan	nan
3.100000e-02	1.693815e+00	nan	nan
3.200000e-02	1.547772e+00	nan	nan
3.300000e-02	1.401148e+00	nan	nan
3.400000e-02	1.255519e+00	nan	nan
3.500000e-02	1.112425e+00	nan	nan
3.600000e-02	9.733528e-01	nan	nan
3.700000e-02	8.397220e-01	nan	nan
3.800000e-02	7.128735e-01	nan	nan
3.900000e-02	5.940579e-01	nan	nan
4.000000e-02	4.844244e-01	nan	nan
4.100000e-02	3.850117e-01	nan	nan
4.200000e-02	2.967396e-01	nan	nan
4.300000e-02	2.204014e-01	nan	nan
4.400000e-02	1.566582e-01	nan	nan
4.500000e-02	1.060342e-01	nan	nan
4.600000e-02	6.891296e-02	nan	nan
